batch_name,status,files_processed,success_rate,successful_files,failed_files,viable_anchors,template_title,duration_seconds,error_count,timestamp
1807 ATHENS RESILIENT CITY/20211221 ΥΠΠΟ_SIGNED,failed,15,0.0,0,0,0,1807_03_A111,0.02,1,2025-10-17T11:23:47.101804
1807 ATHENS RESILIENT CITY/3,failed,24,0.0,0,0,0,1807_02_T102-TΕΧΝΙΚΗ_ΕΚΘΕΣΗ_ΠΡΟΣΒΑΣΙΜΟΤΗΤΑΣ_ΑΒ,20.51,1,2025-10-17T11:23:47.117512
1807 ATHENS RESILIENT CITY/4,failed,26,0.0,0,0,0,1807_02_T104-ΤΕΥΧΟΣ_ΠΑΘΗΤΙΚΗΣ_ΠΥΡΟΠΡΟΣΤΑΣΙΑΣ,4.97,1,2025-10-17T11:24:07.633587
1807 ATHENS RESILIENT CITY/5,failed,14,0.0,0,0,0,1807_01_PP010,0.01,1,2025-10-17T11:24:12.608222
1807 ATHENS RESILIENT CITY/6,failed,22,0.0,0,0,0,1807_01_E101,0.01,1,2025-10-17T11:24:12.622425
1807 ATHENS RESILIENT CITY/7,failed,9,0.0,0,0,0,1807_01_PR111_1,0.0,1,2025-10-17T11:24:12.630677
1807 ATHENS RESILIENT CITY/984 FINAL SUBMISSION PHASE 3,failed,30,0.0,0,0,0,1807_03_A101,0.03,1,2025-10-17T11:24:12.631279
1807 ATHENS RESILIENT CITY/984_PDF-STAMPED,failed,30,0.0,0,0,0,1807_03_A205_STAMPED,0.0,1,2025-10-17T11:24:12.660016
1807 ATHENS RESILIENT CITY/AB FINAL SUBMISSION PHASE 3,failed,50,0.0,0,0,0,1807_02_L105_01,0.0,1,2025-10-17T11:24:12.662505
1807 ATHENS RESILIENT CITY/AB_PDF-STAMPED,failed,50,0.0,0,0,0,1807_02_L103_01_STAMPED,0.0,1,2025-10-17T11:24:12.665990
1807 ATHENS RESILIENT CITY/ADRIANOU ARCHITECT,failed,19,0.0,0,0,0,1807_04_A010,0.0,1,2025-10-17T11:24:12.668884
